# 363 zombie hard-delete kandidaadid — audit-jälg (loodud 2026-08-25)
# Kriteerium: deleted_at IS NOT NULL AND status='published' (04-19 re-import müra)
# HARD-DELETE EI OLE VEEL TEHTUD — ootab (1) re-run'i, (2) värsket backup'i.
# Veerud: product_id | handle | vevor_sku | deleted_at | has_content
#---
prod_01KP6FCCARX7DC3F61CBTW3MSW|vevor-7-tiers-rotating-shoe-rack-tower-360-spinning-shoe-rack-revolvin-xzxjekwdz7csl7oy5001v0|XZXJEKWDZ7CSL7OY5001V0|2026-04-19|yes
prod_01KP6FFV7Y3VYXE3V7HBYCABPB|vevor-735w-shallow-well-pump-with-pressure-tank-3785-lph-irrigation-je-gsjbgsdglqfyb6oyn001v2|GSJBGSDGLQFYB6OYN001V2|2026-04-19|yes
prod_01KP6FEZDTVAAMMMHB3J77AHQF|vevor-8000w-solar-street-light-outdoor-450000lm-commercial-parking-lot-ytstynldhs1jd7sxt001v9|YTSTYNLDHS1JD7SXT001V9|2026-04-19|yes
prod_01KP6FBNC2SVK3VTH0A7JF2BKP|vevor-91-4-cm-t-post-puller-heavy-duty-steel-fence-post-puller-300-kg-ggs36inchwqzne8ia001v0|GGS36INCHWQZNE8IA001V0|2026-04-19|yes
prod_01KP6FFQ2ZSQQG3W60VVMMACN0|vevor-above-ground-pool-ladder-3-step-steel-a-frame-swimming-pool-stai-dsycttgkaxbsvqr02001v0|DSYCTTGKAXBSVQR02001V0|2026-04-19|yes
prod_01KP6FDR3TB6SV03RFSJQPRH4B|vevor-above-ground-pool-pump-180w-10-800-l-h-max-flow-single-speed-swi-dsycglbozds1fnj0q001v2|DSYCGLBOZDS1FNJ0Q001V2|2026-04-19|yes
prod_01KP6FEXGWB3NAGYDND7N8DA5Y|vevor-ac-manifold-gauge-set-for-r134a-r404a-r1234yf-r22-refrigerant-3-jxlmb3tldstxramfl001v0|JXLMB3TLDSTXRAMFL001V0|2026-04-19|yes
prod_01KP6FCGZ0TF851F65CQM1EW0W|vevor-ac-vacuum-pump-and-gauge-set-4-5-cfm-127-l-min-single-stage-rota-zkbkdtzdj13h9r4co001v2|ZKBKDTZDJ13H9R4CO001V2|2026-04-19|yes
prod_01KP6FFXNZMX6D3D6T2ZBCAXMZ|vevor-adjustable-table-legs-710-1100-mm-steel-furniture-legs-544-kg-ma-sjztsjk284334vurx001v0|SJZTSJK284334VURX001V0|2026-04-19|yes
prod_01KP6FCH6R038E0Y60EW3MHHVC|vevor-aerial-yoga-hammock-136-07-kg-load-aerial-silk-yoga-swing-with-n-ggdc2815mcshuqj1c001v0|GGDC2815MCSHUQJ1C001V0|2026-04-19|yes
prod_01KP6FC5TFXX6DJ3Z34JYGMW97|vevor-air-hose-6-35-mm-x-76-2-m-hybrid-air-compressor-hose-300-psi-kin-kqrg1ptkqrgrh27az001v0|KQRG1PTKQRGRH27AZ001V0|2026-04-19|yes
prod_01KP6FBDBNZR5V4G538B8QTNDD|vevor-air-operated-double-diaphragm-pump-132-l-min-max-standard-inlet-qdgmblhjbt1i5xhun001v0|QDGMBLHJBT1I5XHUN001V0|2026-04-19|yes
prod_01KP6FC6GGN98ZDJ6GWQCT7BS8|vevor-arch-backdrop-stand-set-of-3-2-2-2-1-8-m-stable-structure-easy-a-bydgmjsjt72fv0muo001v0|BYDGMJSJT72FV0MUO001V0|2026-04-19|yes
prod_01KP6FAX1V6DVD8R4PMTSSMQ48|vevor-artificial-grass-plant-1194mm-reed-flower-grass-in-pot-premium-p-dpklwhls47injtac5001v0|DPKLWHLS47INJTAC5001V0|2026-04-19|yes
prod_01KP6FEYAQECGJTYJ3NQMZKR09|vevor-artificial-plant-wall-101-6-x-304-8-cm-artificial-boxwood-panels-rzzwqpjspjs3thl8d001v0|RZZWQPJSPJS3THL8D001V0|2026-04-19|yes
prod_01KP6FARECP6PC4ZBF47PJ8PR4|vevor-ash-bucket-4-pcs-with-lid-shovel-broom-and-gloves-metal-fireplac-blht4jtdgyxtvhe1a001v0|BLHT4JTDGYXTVHE1A001V0|2026-04-19|yes
prod_01KP6FB8HWDZKY1DH1CQ9330MV|vevor-automatic-home-beer-brewer-13l-all-in-one-home-brew-machine-1500-sx-zj10l0000000nst5c001v2|SX-ZJ10L0000000NST5C001V2|2026-04-19|yes
prod_01KP6FET44GKKK783YGX5H63K1|vevor-awnings-for-door-entrance-30-x-39-in-exterior-front-door-window-gdszyp3040ycjjp3w001v0|GDSZYP3040YCJJP3W001V0|2026-04-19|yes
prod_01KP6FDZJQ4YT807889ZZMGQV9|vevor-baby-spacecraft-musical-table-toys-for-1-3-years-old-learning-ac-dzsgetwjxxzsj5hhn001v9|DZSGETWJXXZSJ5HHN001V9|2026-04-19|yes
prod_01KP6FDRXYXV5R6BVDPTJSJC8E|vevor-bakery-display-case-3-tier-commercial-countertop-pastry-display-mbzsjykljx2c3l13d001v0|MBZSJYKLJX2C3L13D001V0|2026-04-19|yes
prod_01KP6FCD7X7AK7PH51GXEEP0VY|vevor-band-saw-229-mm-woodworking-benchtop-bandsaw-with-373w-1-2-hp-mo-ts05hpds9inc29n5m001v2|TS05HPDS9INC29N5M001V2|2026-04-19|yes
prod_01KP6FDM3KQ28TD7NC9M1Y4EH4|vevor-banding-strapping-kit-heavy-duty-banding-sealer-tool-with-610-m-sldsdkzgjpetdin5r001v0|SLDSDKZGJPETDIN5R001V0|2026-04-19|yes
prod_01KP6FC0J9C9K3W8XXTNEYF7ED|vevor-bandsaw-blade-3810-mm-length-4-tpi-band-saw-blade-with-18-hrc-ha-jt1jt150inchd9z9h001v0|JT1JT150INCHD9Z9H001V0|2026-04-19|yes
prod_01KP6FDDN9ECNHTFEQ6J65FBQ8|vevor-bar-table-3pcs-1193-8mm-bars-tables-set-bar-tables-and-chair-set-btzek3jtjxgygky9u001v0|BTZEK3JTJXGYGKY9U001V0|2026-04-19|yes
prod_01KP6FD6TW0MPCRYWV749F10BF|vevor-baseball-batting-cage-6060-x-3660-x-2500mm-freestanding-portable-fxztkwtg22ycewof2001v0|FXZTKWTG22YCEWOF2001V0|2026-04-19|yes
prod_01KP6FCNQQDXC8QFNBVB0F69MA|vevor-beach-cabana-2-4-x-2-4-m-beach-canopy-with-side-wall-upf-50-prot-jykhtxw8ft8f653nj001v0|JYKHTXW8FT8F653NJ001V0|2026-04-19|yes
prod_01KP6FDX3KGH46DZSRJHYVV4PE|vevor-beach-tent-sun-shelter-for-4-person-upf-50-protection-portable-s-bxshtzpdbjc4mornx001v0|BXSHTZPDBJC4MORNX001V0|2026-04-19|yes
prod_01KP6FDQJTG4H67MYXDJ88J6J2|vevor-beach-tent-sun-shelter-for-4-person-upf-50-protection-portable-s-jcxhtzplcpx4ko4qm001v0|JCXHTZPLCPX4KO4QM001V0|2026-04-19|yes
prod_01KP6FF0PHRTKT33BEH9AKY54E|vevor-beach-tent-sun-shelter-upf50-sun-protection-2-m-tall-3-x-3-m-eas-zpstpzpstpsjtvq55001v0|ZPSTPZPSTPSJTVQ55001V0|2026-04-19|no
prod_01KP6FBTMHB28BSHT92840R276|vevor-bench-vise-3-inch-portable-workbench-vice-with-360-swivel-base-q-bxsthq3yczysrc37i001v0|BXSTHQ3YCZYSRC37I001V0|2026-04-19|yes
prod_01KP6FDD4JTFTB46B4EEKYVSXP|vevor-bifold-barn-door-1829-x-2134-mm-mdf-bi-fold-sliding-closet-doors-mzbxhx7284inxrvkr001v0|MZBXHX7284INXRVKR001V0|2026-04-19|no
prod_01KP6FDNEMSDFRC490DTNFZHCZ|vevor-bike-travel-bag-road-bike-bag-road-bicycle-storage-carry-with-ts-zxcrbxlxglzxgtwne001v0|ZXCRBXLXGLZXGTWNE001V0|2026-04-19|yes
prod_01KP6FEVEE0NGJS3NCHHH5CR8D|vevor-boat-trailer-steps-3-step-heavy-duty-boat-trailer-steps-with-han-ctcbtsjbtcmafge6a001v0|CTCBTSJBTCMAFGE6A001V0|2026-04-19|no
prod_01KP6FFYM74FYQKH31HZKW913N|vevor-brake-line-flaring-tool-kit-45-single-double-flare-tool-for-4-75-pqgkgqsdkgqt3yt6b001v0|PQGKGQSDKGQT3YT6B001V0|2026-04-19|yes
prod_01KP6FAXDGGRPE82W4AK8GAERJ|vevor-breast-pump-backpack-breast-feeding-bag-with-ice-pack-fits-for-s-xnbbbdhhs000eu7vg001v0|XNBBBDHHS000EU7VG001V0|2026-04-19|yes
prod_01KP6FATKPYBMHZPE701XQ1D1H|vevor-breast-pump-bag-breast-feeding-bag-with-ice-pack-fits-for-s1-s2-xnbstbzhhs00ix0yv001v0|XNBSTBZHHS00IX0YV001V0|2026-04-19|yes
prod_01KP6FB0780WW0861HRB336K78|vevor-brochure-display-rack-narrow-6-tier-magazine-literature-display-wjzsxldsdzjls32si001v0|WJZSXLDSDZJLS32SI001V0|2026-04-19|yes
prod_01KP6FD7KPXDBC69RJWS16J8JZ|vevor-camping-shower-tent-2-room-foldable-privacy-tent-changing-room-w-srzpzdswpjl9klvfy001v0|SRZPZDSWPJL9KLVFY001V0|2026-04-19|yes
prod_01KP6FEYNTCDQ2B53ANDKXAWM7|vevor-canopy-sidewalls-1-73-x-1-48-m-canopy-tent-walls-with-waterproof-zpsltcbggmstpo0wf001v0|ZPSLTCBGGMSTPO0WF001V0|2026-04-19|yes
prod_01KP6FF1GRMC4YG7KWZ2W22ZXF|vevor-canopy-sidewalls-fit-for-3-x-3-m-pop-up-canopy-tent-tent-side-wa-tpsltcbpjllkzrbzt001v0|TPSLTCBPJLLKZRBZT001V0|2026-04-19|yes
prod_01KP6FE17QGVXXP991NF59S5MB|vevor-car-audio-amplifier-4-channel-bridgeable-car-amplifier-multichan-4tdabl4x300wnf5gg001v9|4TDABL4X300WNF5GG001V9|2026-04-19|yes
prod_01KP6FG285Z0RXNYBH7K327ZSB|vevor-car-buffer-polisher-30-50-76-mm-rotary-polisher-buffer-600w-6-va-qcpgjtxhcpgwv1ie4001v2|QCPGJTXHCPGWV1IE4001V2|2026-04-19|yes
prod_01KP6FAZ5W79GTZN366356GVRV|vevor-car-ramps-2-pcs-5897-kg-gvw-capacity-155-mm-lift-height-portable-tswxpdsl61inll3y9001v0|TSWXPDSL61INLL3Y9001V0|2026-04-19|yes
prod_01KP6FCKH35XBWQX8PHK4VSYY0|vevor-carbon-dioxide-monitor-co2-controller-with-temperature-and-humid-eyhtjcqeyhtjp8me5001v9|EYHTJCQEYHTJP8ME5001V9|2026-04-19|yes
prod_01KP6FBWCZKA6RYP3PBBTVHNQR|vevor-carbon-felt-welding-blanket-1016mm-x-1016mm-flame-retardant-weld-fhtzt4040inc2gwcv001v0|FHTZT4040INC2GWCV001V0|2026-04-19|yes
prod_01KP6FB3ZY2D51JGY140V0XVVW|vevor-cargo-bar-ratcheting-cargo-bar-adjustable-from-1499mm-to-1854mm-jlssshl1jtjl3fyt1001v0|JLSSSHL1JTJL3FYT1001V0|2026-04-19|yes
prod_01KP6FCEWR2XSCQQ515G7AZ1F6|vevor-carpet-tiles-457x457-mm-10-pack-carpet-square-rug-detachable-dam-zzfkdtx1818i3eisj001v0|ZZFKDTX1818I3EISJ001V0|2026-04-19|yes
prod_01KP6FD67T436TBXB0YRYH18NZ|vevor-cat-door-for-window-adjustable-to-fit-window-width-889-1016-mm-4-chmmzyssk354bmygm001v0|CHMMZYSSK354BMYGM001V0|2026-04-19|yes
prod_01KP6FFZCP0E83VRM90QMECWBH|vevor-charcoal-grill-0-5-m-large-charcoal-barbecue-grill-with-2-liftab-tlzhksfxltg5k2ns2001v0|TLZHKSFXLTG5K2NS2001V0|2026-04-19|yes
prod_01KP6FCP9T6YPQ1PWZDEXVGPE7|vevor-charcoal-smoker-406mm-vertical-charcoal-bbq-grill-coated-steel-b-mtyxlytdm16iw92e8001v0|MTYXLYTDM16IW92E8001V0|2026-04-19|no
prod_01KP6FC4E9RDG51W5H76T2MGP7|vevor-chicken-plucker-machine-400mm-drum-500w-230rpm-electric-chicken-sjxtmj156incifmc8001v2|SJXTMJ156INCIFMC8001V2|2026-04-19|yes
prod_01KP6FB2SYTT3VEZE2H389T4C8|vevor-chimney-sweep-kit-9m-maximum-extendable-length-chimney-brush-chi-sstycqstj30yiib96001v0|SSTYCQSTJ30YIIB96001V0|2026-04-19|yes
prod_01KP6FB8637BYNAKDK3Q6S624A|vevor-chimney-sweep-kit-9m-maximum-extendable-length-chimney-sweep-chi-ycsqstj30yc16ngov001v0|YCSQSTJ30YC16NGOV001V0|2026-04-19|yes
prod_01KP6FB4N15SS4DQ3AJ92TJ08R|vevor-classical-guitar-780-mm-wood-classical-guitar-starter-kit-for-be-jbgdjt30inch4dnfx001v0|JBGDJT30INCH4DNFX001V0|2026-04-19|no
prod_01KP6FB7KRBY3VT29A6AKVNWNB|vevor-clawfoot-tub-faucet-wall-mount-bathtub-faucets-with-handheld-sho-bgszzygltlthgv59o002v0|BGSZZYGLTLTHGV59O002V0|2026-04-19|yes
prod_01KP6FBF9E1D8RSJNG8JVWG0XN|vevor-clothes-rack-rolling-clothing-garment-rack-with-hanging-rod-and-jycyjdeddlptyqwef001v0|JYCYJDEDDLPTYQWEF001V0|2026-04-19|yes
prod_01KP6FC7PC3BWBXAT596EMB890|vevor-coffee-table-modern-tempered-glass-coffee-table-with-lighting-2-jskfzkfssnjs7yg2i001v9|JSKFZKFSSNJS7YG2I001V9|2026-04-19|yes
prod_01KP6FFSTNB26E6WZ2D1XXPDV7|vevor-commercial-electric-meat-bandsaw-1500w-bone-sawing-machine-with-2025kghtsjgji6vz4001v2|2025KGHTSJGJI6VZ4001V2|2026-04-19|yes
prod_01KP6FD4VSFYJSAQMTWASR5MY5|vevor-commercial-hard-ice-cream-machine-2000w-12-20l-per-hour-countert-syysybqljtmsrlaub001v2|SYYSYBQLJTMSRLAUB001V2|2026-04-19|yes
prod_01KP6FESCJT24WFKJ1YS28TC1C|vevor-commercial-ice-cream-machine-20-28l-h-yield-2200w-3-flavor-count-sydjbqljtsskf03zr001v2|SYDJBQLJTSSKF03ZR001V2|2026-04-19|yes
prod_01KP6FFNP3CT9DVEFB2K6AY1S6|vevor-commercial-ice-maker-machine-54-kg-24h-with-14-kg-storage-capaci-ytszbjfb120ltihjp001v2|YTSZBJFB120LTIHJP001V2|2026-04-19|yes
prod_01KP6FAST1RV6Q4GPVP2FNRG7X|vevor-commercial-ice-maker-machine-head-204-kg-day-stainless-steel-ice-ftzbjjtxfb45ho1gs001v2|FTZBJJTXFB45HO1GS001V2|2026-04-19|yes
prod_01KP6FBH1TRSZQA4SG48JW9VWJ|vevor-conference-table-1800-mm-office-meeting-table-for-6-8-person-mod-bghyzjx6ft00o6lgr001v0|BGHYZJX6FT00O6LGR001V0|2026-04-19|no
prod_01KP6FCRD20Z0WS028DH9PM65X|vevor-confined-space-tripod-kit-heavy-duty-rescue-tripod-lifting-hoist-cgksjj397lbswvue0001v0|CGKSJJ397LBSWVUE0001V0|2026-04-19|yes
prod_01KP6FAP8E123XKEVMM03DVHX5|vevor-containment-mat-2-4-x-5-5-m-non-slip-pvc-garage-floor-mat-with-a-tcd7ft9inch1falw3001v0|TCD7FT9INCH1FALW3001V0|2026-04-19|yes
prod_01KP6FBVHDXRC09S8STZMVH608|vevor-coolant-pressure-tester-kit-28pcs-radiator-vacuum-refill-kit-wit-srqylcshlqyt566o4001v0|SRQYLCSHLQYT566O4001V0|2026-04-19|yes
